slug,nome,endereco,bairro,url
bar-e-restaurante-nordestino,Bar e Restaurante Nordestino,"Terceira Avenida - Área Especial, 0 – Mercado do Núcleo Bandeirante, Box 13, 15 e 17",Núcleo Bandeirante - DF,https://comidadibuteco.com.br/buteco/bar-e-restaurante-nordestino/
ceara-carne-de-sol,Ceará Carne de Sol,"QE 04 - Área Especial C, 0",GUARÁ I,https://comidadibuteco.com.br/buteco/ceara-carne-de-sol/
churrasquinho-do-dimi,Churrasquinho do Dimi,"Quadra 2, Conjunto A-06, 2 – Quiosque",Sobradinho,https://comidadibuteco.com.br/buteco/churrasquinho-do-dimi/
cuscuz-restaurante,Cuscuz Restaurante,"ST SHTQ EPIA Norte DF 003, 3 – BL. B1",Setor Habitacional Taquari (Lago Norte),https://comidadibuteco.com.br/buteco/cuscuz-restaurante/
embaixada-do-piaui,Embaixada do Piauí,"CLS 313, Bloco B, 37 - Loja",Asa Sul,https://comidadibuteco.com.br/buteco/embaixada-do-piaui/
federal-bar-e-cozinha,Federal Bar e Cozinha,Rua 35 Norte – Av. Boulevard - Quiosque,Águas Claras,https://comidadibuteco.com.br/buteco/federal-bar-e-cozinha/
goianeiro-churrasco,Goianeiro Churrasco,"Quadra CCSW, 5",Brasília - DF,https://comidadibuteco.com.br/buteco/goianeiro-churrasco/
mesquimar-cozinha-e-bar,Mesquimar Cozinha e Bar,"QN 320, Conjunto 01, 3",Samambaia Sul,https://comidadibuteco.com.br/buteco/mesquimar-cozinha-e-bar/
quiosque-do-cabeca,Quiosque do Cabeça,Rua 5 - Av. Boulevard,Águas Claras,https://comidadibuteco.com.br/buteco/quiosque-do-cabeca/
quiosque-tardezinha,Quiosque Tardezinha,"QNL 10, Bloco H, 2 – Lote 2",Taguatinga Norte,https://comidadibuteco.com.br/buteco/quiosque-tardezinha/
tata-kombinado-cozinha-e-bar,Tatá Kombinado Cozinha e Bar,"Rua 3, Chácara 92, Lotes 66/67, 92",Vicente Pires,https://comidadibuteco.com.br/buteco/tata-kombinado-cozinha-e-bar/
